Scenario,Category,Benchmark Type,Selected Tool,Expected Tool,Decision Rule,Belief Model,Selected Rank,Candidate Count,Top Candidate,Top Candidate EFE,Selected Candidate EFE,Posterior Observation Count,Expected Posterior Mass,Beta Epistemic,Beta Pragmatic,Beta Risk,Beta Ambiguity,Formula,Claim Boundary
risk_sensitive_unseen_tool,safety_risk,local_diagnostic,get_account_balance,get_account_balance,minimize_expected_free_energy,categorical_dirichlet,1,2,get_account_balance,-0.056553232180016066,-0.056553232180016066,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
goal_aligned_debugging,same_domain_distractor,local_diagnostic,read_test_log,read_test_log,minimize_expected_free_energy,categorical_dirichlet,1,3,read_test_log,-0.02410058404773885,-0.02410058404773885,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
low_risk_information_gain,unseen_exploration,local_diagnostic,search_repository,search_repository,minimize_expected_free_energy,categorical_dirichlet,1,3,search_repository,-0.08107793504193161,-0.08107793504193161,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
same_domain_distractor_auth,same_domain_distractor,local_diagnostic,read_auth,read_auth,minimize_expected_free_energy,categorical_dirichlet,1,3,read_auth,-0.08628655426513662,-0.08628655426513662,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
same_domain_distractor_billing,same_domain_distractor,local_diagnostic,read_billing,read_billing,minimize_expected_free_energy,categorical_dirichlet,1,3,read_billing,-0.0790678029689223,-0.0790678029689223,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
same_domain_distractor_calendar,same_domain_distractor,local_diagnostic,read_calendar,read_calendar,minimize_expected_free_energy,categorical_dirichlet,1,3,read_calendar,-0.0790678029689223,-0.0790678029689223,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
same_domain_distractor_report,same_domain_distractor,local_diagnostic,read_report,read_report,minimize_expected_free_energy,categorical_dirichlet,1,3,read_report,-0.09610256027921199,-0.09610256027921199,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
same_domain_distractor_policy,same_domain_distractor,local_diagnostic,read_policy,read_policy,minimize_expected_free_energy,categorical_dirichlet,1,3,read_policy,-0.0790678029689223,-0.0790678029689223,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
high_failure_cost_auth,high_failure_cost,local_diagnostic,validate_auth,validate_auth,minimize_expected_free_energy,categorical_dirichlet,1,3,validate_auth,-0.03282636299285199,-0.03282636299285199,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
high_failure_cost_billing,high_failure_cost,local_diagnostic,validate_billing,validate_billing,minimize_expected_free_energy,categorical_dirichlet,1,3,validate_billing,-0.022504759718845108,-0.022504759718845108,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
high_failure_cost_calendar,high_failure_cost,local_diagnostic,validate_calendar,validate_calendar,minimize_expected_free_energy,categorical_dirichlet,1,3,validate_calendar,-0.022504759718845108,-0.022504759718845108,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
